arm,policy_label,metric,policy,threshold,drop_truncated,conf,n_policies_reais,tp,fp,fn,precision,recall,f1,n_images,gt_total,pred_total,MAE,RMSE,MAPE,bias,bias_rel,R2,fit_r2,slope,intercept,latency_total_ms,latency_merge_ms,n_tiles,fold
C_tile640,iou-nms@0.3-keep,iou,nms,0.3,False,0.01,24,2986,10006,496,0.22983374384236452,0.8575531303848363,0.3625106227995629,81,3482.0,12992.0,117.4074074074074,122.25635886918364,3.2946373413702315,117.4074074074074,2.7311889718552558,-73.76544945533503,0.0023624495120559974,0.10902219524989053,155.7084532856776,63.306898184586316,8.04090005112812,6,0
C_tile640,iou-nms@0.3-keep,iou,nms,0.3,False,0.02,24,2955,8216,527,0.2645242144839316,0.8486502010338886,0.40333037603221183,81,3482.0,11171.0,94.92592592592592,100.15327759162793,2.7080547839669404,94.92592592592592,2.208213670304423,-49.17511390389987,1.9444143917413115e-05,0.00894915647072012,137.52887700208584,61.51129895681515,5.910099949687719,6,0
C_tile640,iou-nms@0.3-keep,iou,nms,0.3,False,0.03,24,2938,7283,544,0.287447412190588,0.8437679494543366,0.4288112092242574,81,3482.0,10221.0,83.19753086419753,88.67397630688541,2.4060952384646317,83.19753086419753,1.9353819643882826,-38.332395824438564,0.0018391192912446952,-0.08076426924625019,129.65705167303017,60.58440153533593,4.971799964550883,6,0
C_tile640,iou-nms@0.3-keep,iou,nms,0.3,False,0.04,24,2924,6737,558,0.30266018010557916,0.8397472716829408,0.44495168530776846,81,3482.0,9661.0,76.28395061728395,82.01618328712728,2.2306225917438627,76.28395061728395,1.7745548535324527,-32.64783643582956,0.0061069109893638895,-0.14103193578686463,125.33423704209707,59.97750104032457,4.491099971346557,6,0
C_tile640,iou-nms@0.3-keep,iou,nms,0.3,False,0.05,24,2915,6306,567,0.31612623359722375,0.8371625502584722,0.45894670550263716,81,3482.0,9221.0,70.85185185185185,76.91176602501349,2.0933782884955314,70.85185185185185,1.648190695002872,-28.589907077594933,0.011341331928074516,-0.1876219854349364,121.90493522573395,59.0741001511924,3.6788000143133104,6,0
C_tile640,iou-nms@0.3-keep,iou,nms,0.3,False,0.06,24,2905,6005,577,0.3260381593714927,0.8342906375646181,0.4688508715300194,81,3482.0,8910.0,67.01234567901234,73.28719087043119,1.995541493570451,67.01234567901234,1.5588742102240092,-25.866691267062713,0.01763545901654784,-0.22799992680873746,119.80118203886448,59.03070149477571,3.4712000051513314,6,0
C_tile640,iou-nms@0.3-keep,iou,nms,0.3,False,0.07,24,2895,5733,587,0.3355354659248957,0.831418724870764,0.47811725846407926,81,3482.0,8628.0,63.53086419753087,69.94053911963847,1.9044413983023576,63.53086419753087,1.4778862722573234,-23.468986727984678,0.019191735873467786,-0.23241427473559478,116.50946302011533,58.743101293221116,3.5154999932274222,6,0
C_tile640,iou-nms@0.3-keep,iou,nms,0.3,False,0.08,24,2885,5504,597,0.34390272976516867,0.8285468121769098,0.4860584617976581,81,3482.0,8389.0,60.58024691358025,67.10384434535719,1.8266874489501428,60.58024691358025,1.4092475588742102,-21.52437955158154,0.021827755666020243,-0.24198326969759615,113.97019438379048,58.58700173860416,3.17209999775514,6,0
C_tile640,iou-nms@0.3-keep,iou,nms,0.3,False,0.09,24,2875,5306,607,0.3514240312920181,0.8256748994830557,0.49301208951384723,81,3482.0,8181.0,58.01234567901235,64.57410328308721,1.7555771909046458,58.01234567901235,1.3495117748420449,-19.858102730034034,0.019268713419740457,-0.22287425131438982,110.58084127255194,58.395098488312215,3.0467999749816954,6,0
C_tile640,iou-nms@0.3-keep,iou,nms,0.3,False,0.1,24,2863,5134,619,0.35800925347005125,0.8222286042504308,0.49882393936754077,81,3482.0,7997.0,55.74074074074074,62.56463324701371,1.6972419577123732,55.74074074074074,1.2966685812751293,-18.58014214352806,0.021712158964943717,-0.2360448662429685,108.87541017602489,58.23740159207955,2.917499979957938,6,0
C_tile640,iou-nms@0.3-keep,iou,nms,0.3,False,0.11,24,2854,4983,628,0.3641699629960444,0.8196438828259621,0.5042848308154432,81,3482.0,7837.0,53.76543209876543,60.79625963153642,1.6464955433033728,53.76543209876543,1.2507179781734634,-17.48892905937031,0.02300497343002883,-0.2419718335630706,107.15488795637793,58.09150174912065,2.7640999760478735,6,0
C_tile640,iou-nms@0.3-keep,iou,nms,0.3,False,0.12,24,2839,4863,643,0.3686055569981823,0.815336013785181,0.5076895565092991,81,3482.0,7702.0,52.098765432098766,59.25650456560304,1.6026886044256363,52.098765432098766,1.211947156806433,-16.564269551215585,0.024813207034461993,-0.2485590470497805,105.77139014601649,57.969699004199356,2.5043999776244164,6,0
C_tile640,iou-nms@0.3-keep,iou,nms,0.3,False,0.13,24,2833,4724,649,0.37488421331216093,0.8136128661688685,0.5132711296313072,81,3482.0,7557.0,50.30864197530864,57.49063262398643,1.5539220770106623,50.30864197530864,1.1703044227455486,-15.533020694829037,0.026261154188417235,-0.24965767837320085,104.02849427278377,58.06360154924914,2.573200035840273,6,0
C_tile640,iou-nms@0.3-keep,iou,nms,0.3,False,0.14,24,2826,4592,656,0.38096521973577785,0.8116025272831706,0.5185321100917432,81,3482.0,7418.0,48.592592592592595,55.954125831174096,1.5091982265241481,48.592592592592595,1.1303848363009765,-14.66110006465228,0.02576538421872232,-0.2464288763921582,102.17364626663571,57.719301767181605,2.456099959090352,6,0
C_tile640,iou-nms@0.3-keep,iou,nms,0.3,False,0.15,24,2815,4483,667,0.38572211564812275,0.808443423319931,0.5222634508348795,81,3482.0,7298.0,47.111111111111114,54.43537339399087,1.467839534008661,47.111111111111114,1.0959218839747271,-13.822465447625552,0.02446277297572652,-0.234663381192284,100.18639374458684,57.78309943666682,2.51580000622198,6,0
C_tile640,iou-nms@0.3-keep,iou,nms,0.3,False,0.16,24,2800,4379,682,0.39002646608162694,0.80413555427915,0.5252790544977018,81,3482.0,7179.0,45.641975308641975,52.9794975485218,1.4281246438825046,45.641975308641975,1.0617461229178633,-13.040213261036632,0.025629402270348822,-0.234754107859519,98.72115806872651,57.958500291220844,2.619300037622452,6,0
