arm,conf,conf_por_fold,policy_label,val_bias_ok,n_folds,tp,fp,fn,precision,recall,f1,n_images,gt_total,pred_total,MAE,RMSE,MAPE,bias,bias_rel,R2,fit_r2,slope,intercept,latency_total_ms,latency_merge_ms,n_tiles,AP,AP50,AP75,AP_small,AP_medium,AP_large,AR_300,AP_sd,AP50_sd,AP_small_sd,f1_sd,MAE_sd,bias_rel_sd,n_rows,row_MAPE,row_worst_abs_rel,row_bias_rel,row_spread,overlap_real_x,overlap_real_y,redundancy
A_full640,0.16333333333333333,0.21|0.10|0.18,ios-nmm@0.5-drop,True,3,17345,10269,10837,0.6281234156587239,0.6154637712014761,0.6217291562119148,670,28182.0,27614.0,21.438805970149254,32.55154351293694,0.6587154226267891,-0.8477611940298507,-0.020154708679298843,-0.2573006210304978,0.13167948810984564,0.3577511724645102,26.16694993672414,15.953150306362659,1.102500013075769,1,0.28695528672473863,0.6208752833113456,0.2225722041231684,0.20567483983628024,0.4568603410207625,,0.3893939393939394,0.07552849653518441,0.16417377070912462,0.05468484592257398,0.1054944558769384,9.420940861872479,0.515400523885168,10,0.5430481884829427,1.6587301587301588,0.2514653937214186,2.5134891204112466,0.0,0.0,1.0
B_full1280,0.3033333333333333,0.45|0.16|0.30,ios-nmm@0.5-drop,True,3,16185,15894,11997,0.5045356775460582,0.574302746433894,0.5371633394732913,670,28182.0,32079.0,31.082089552238806,42.886295344296286,0.9950952073016295,5.816417910447761,0.1382797530338514,-1.1823933075297268,0.028981573447199316,0.2132209555402445,38.910458255171385,23.243249913444743,1.1651500244624913,1,0.24630187625306857,0.5370073048758833,0.18678882309399553,0.2078301896667871,0.3943660648137081,,0.4252217727627564,0.04277268451465805,0.08581790382533118,0.022607198086186938,0.10800941650165002,9.4306416970205,0.7506898150196276,10,0.8256771430937002,2.4484126984126986,0.469890553566754,3.3855264190554673,0.0,0.0,1.0
C_tile640,0.35000000000000003,0.50|0.14|0.41,iou-nms@0.3-keep,True,3,15847,15536,12335,0.504954911894975,0.5623092754240295,0.5320909930328213,670,28182.0,31383.0,29.682089552238807,41.76671173261337,1.01296245276955,4.777611940298508,0.11358313817330211,-1.069934136063877,0.02361685948401493,0.18231970750222026,39.17144179577975,57.212449964368716,1.3585499837063253,6,0.2042010578217694,0.46250369979732237,0.1472126475420516,0.1795795361244821,0.2790219308770836,,0.3659179618196012,0.06761844220140364,0.11838862610649224,0.0463411026538928,0.09747719502673598,8.710813446911585,0.7100637570660382,10,0.7761018118840244,2.4186507936507935,0.42777424914580414,3.350974650263896,0.875,0.5,2.6666666666666665
D_tile320,0.27666666666666667,0.45|0.03|0.35,iou-nmm@0.3-keep,True,3,6166,35389,22016,0.1483816628564553,0.2187921368249237,0.176835826032092,670,28182.0,41555.0,48.99850746268657,62.92289761903944,1.858550876247528,19.959701492537313,0.4745227450145483,-3.6980040256180535,0.0003259568483530151,0.03275140428186528,60.64477600675891,130.00599893019535,2.3257499851752073,15,0.045074743076609206,0.13489855423596173,0.01748963398812487,0.039214227695063074,0.14224610532889548,,0.2506174153715137,0.007957872917276364,0.025789353484651334,0.004687574966093431,0.06135831178864256,22.920696141474398,1.2725790263184305,10,1.3842153045534797,4.0773809523809526,0.9690606569094076,5.003833362764142,0.375,0.25,1.6666666666666667
