split,tp,fp,fn,precision,recall,f1,n_images,gt_total,pred_total,MAE,RMSE,MAPE,bias,bias_rel,R2,fit_r2,slope,intercept,AP,AP50,AP75,AP_small,AP_medium,AP_large,AR_300
aleatório (vazado),8089,3209,1323,0.7159674278633387,0.8594347641308967,0.781168517624336,224,9412.0,11298.0,8.625,11.489513852701888,0.28726180494579834,8.419642857142858,0.20038249043773906,0.8584530357649017,0.9662731202657598,1.141586797611912,2.47046902177091,0.39533780197229623,0.8119287548608692,0.3353242974150985,0.33298668877772225,0.5377852309143707,,0.47008074798130045
agrupado (honesto),5727,3201,3685,0.6414650537634409,0.608478538036549,0.62453653217012,224,9412.0,8928.0,20.455357142857142,32.262179317053494,0.5303360296962613,-2.1607142857142856,-0.051423714407139824,-0.1160525773220551,0.16004533029911128,0.3683407740257661,24.380252834238792,0.25935136437638145,0.5482816763621162,0.2079481700725548,0.18968165219313546,0.423455173570195,,0.32623246918827026
