modelo,arm,conf,bias_ok,val_MAE,val_f1,MAE,MAPE,bias_rel,f1,precision,recall,AP,AP50,AP_small,R2,latency_ms,n_tiles,n_imgs,val_bias_ok
yolo11s_imgsz640_120ep,A_full640,0.28,,4.839506172839506,0.7980409104004611,33.01777777777778,0.4715836917226881,-0.6223073648361005,0.4740127309807799,0.8645175834084761,0.3265219242230736,0.2312068106527683,0.4749148934947215,0.2036680428520425,-0.7713911606109196,18.34120074985549,1,225,True
yolo11s_imgsz640_120ep,B_full1280,0.46,,10.54320987654321,0.5953263037902536,38.83555555555556,0.5977459888596588,-0.7438058748403577,0.3688491256608378,0.9042871385842473,0.2316730523627075,0.1892353919642234,0.3772725889200588,0.1894432857080753,-1.1744909519770688,36.69989879848436,1,225,True
yolo11s_imgsz640_120ep,C_tile640,0.48,,13.012345679012345,0.5881000287438919,39.257777777777775,0.6109027769486015,-0.7517241379310344,0.3634131368937998,0.9135802469135802,0.2268199233716475,0.0944063139798848,0.2163072190737908,0.1131561389407341,-1.1887021983940764,102.7518011815846,6,225,True
yolo11s_imgsz640_120ep,D_tile320,0.49,,15.37037037037037,0.0964824120603015,45.34666666666666,0.7982131835020765,-0.8676883780332056,0.0735393638619445,0.3146718146718146,0.0416347381864623,0.0221609715020345,0.0675901647146919,0.0246359583306011,-1.502891157515462,250.8315963307396,15,225,True
yolo26m_imgsz1280_300ep_aug,A_full640,0.26,,4.765432098765432,0.7639211136890951,29.604444444444443,0.4640424336000755,-0.5640698169433802,0.4968870441743255,0.818359375,0.356747552149851,0.2239413410031437,0.4850118906180899,0.1685429692673287,-0.3347335120444259,26.79180016927421,1,225,True
yolo26m_imgsz1280_300ep_aug,B_full1280,0.18,,3.567901234567901,0.8317286966518178,19.31111111111111,0.299556847567359,-0.3457641549595572,0.6952493694992022,0.8789692868297762,0.5750532141336739,0.3610690297825386,0.6830695978422947,0.3138571955857935,0.3878887121038588,206.62900329614052,1,225,True
yolo26n_imgsz1280_300ep,A_full640,0.15,,4.271604938271605,0.7776811594202898,31.133333333333333,0.5544788581341218,-0.5887611749680716,0.5069079939668175,0.8697722567287784,0.3576841209025117,0.2168264242416698,0.4626462252693655,0.157406737067708,-0.3434193664217126,32.364600722678006,1,225,True
yolo26n_imgsz1280_300ep,B_full1280,0.22,,4.654320987654321,0.8192839823135074,19.106666666666666,0.3361001974377801,-0.3631332481907194,0.7147984395318597,0.9185828877005348,0.5850148999574287,0.3672535754126356,0.7114572245922901,0.3162524672357441,0.480028106756146,60.84199825115502,1,225,True
yolo26n_imgsz1280_90ep,A_full640,0.16,,5.234567901234568,0.7769700494329748,31.48,0.5060521330052243,-0.598978288633461,0.4921300516560316,0.8596602972399151,0.3447424435930183,0.2083992736226165,0.4577714412942239,0.1553280450843838,-0.4700545419651203,16.412300267256796,1,225,True
yolo26n_imgsz1280_90ep,B_full1280,0.2,,4.0,0.8252766453115902,24.73777777777778,0.3611044108741159,-0.4711792252022137,0.6336600579193584,0.9159555627113186,0.4843763303533418,0.3305653961591963,0.6432282594337714,0.2900789964520039,-0.0219406043571663,24.716299335006624,1,225,True
